Surname               Name               HW1  HW2  HW3  HW4  HW5  EXAM
Surname4564           Name4564            7    4    6   10    6     6
Surname4565           Name4565            7    7    7    1    6     2
Surname4566           Name4566            5    7    6    1    2     9
Surname4567           Name4567            3   10    4    2    3     3
Surname4568           Name4568            7   10    5    1   10     9
Surname4569           Name4569            7    4    7    2   10     5
Surname4570           Name4570            7    5    7    1    1     6
Surname4571           Name4571            2    8    7    3    7     1
Surname4572           Name4572            9    5    8   10    5     7
Surname4573           Name4573            4    3    2    8    5     5
Surname4574           Name4574            4   10    8    6    3     4
Surname4575           Name4575            8    4    1    1    6     2
Surname4576           Name4576            1    3    9    9    8     2
Surname4577           Name4577            7    6    4    2    5     7
Surname4578           Name4578            6    4    6    5    2     4
Surname4579           Name4579            1    6    3    3    2     4
Surname4580           Name4580            8    5    6   10    6     8
Surname4581           Name4581            1    2    4    2    9     4
Surname4582           Name4582            8    3    3    2    2     7
Surname4583           Name4583            2   10    9    2    2    10
Surname4584           Name4584            4   10    3    6    6     7
Surname4585           Name4585            2    8    9    9    4     7
Surname4586           Name4586           10    5    2    4    9     2
Surname4587           Name4587            1    8    4    5    1     5
Surname4588           Name4588            6    9    8    2    9     8
Surname4589           Name4589            6    1    1    9    1     5
Surname4590           Name4590            3    9    1    9    5     5
Surname4591           Name4591            8   10    3    9    1     8
Surname4592           Name4592            5    4    2    1    6    10
Surname4593           Name4593            4    4    4    7    8     7
Surname4594           Name4594            7    2    8    4    1     1
Surname4595           Name4595            9    3    2    1    4     5
Surname4596           Name4596            4    3    5    4    1     7
Surname4597           Name4597            7    5    7    5    8     3
Surname4598           Name4598            8    7    9    9   10     1
Surname4599           Name4599            6    8    9    2    3     6
Surname4600           Name4600            6    7    3    4    7     1
Surname4601           Name4601            9    8    4    9    4     1
Surname4602           Name4602            5   10    3    8    4     4
Surname4603           Name4603            2    4    8    9    5    10
Surname4604           Name4604            1    2    3    7    1    10
Surname4605           Name4605            2    1    5    7    5     2
Surname4606           Name4606            5    2    1    8    4     9
Surname4607           Name4607            8   10    4    5    5     9
Surname4608           Name4608            6    7    5    6    5     5
Surname4609           Name4609            8    1    3    6    8     6
Surname4610           Name4610            4    3    6    3    4     9
Surname4611           Name4611            1    5   10    4   10     1
Surname4612           Name4612            9   10    1    3    2     3
Surname4613           Name4613            6    6    3    7    3     8
Surname4614           Name4614            2    4    4    6    4     3
Surname4615           Name4615            4    1    6    7    4    10
Surname4616           Name4616            9    9    3   10    2     4
Surname4617           Name4617            9    7    6    8    1     2
Surname4618           Name4618            1    8    1    3    1     1
Surname4619           Name4619            5    2    3    1    8     9
Surname4620           Name4620            6   10    1    8    1    10
Surname4621           Name4621            8    8    7    8    2     5
Surname4622           Name4622            2    8    5   10    9     3
Surname4623           Name4623            9    5   10    9   10    10
Surname4624           Name4624            1    4    1    8    6     9
Surname4625           Name4625            7    2    2    2    7     5
Surname4626           Name4626            6    8    6    8    6     6
Surname4627           Name4627            3    6    4    4    2     4
Surname4628           Name4628            8    3    2    3    3     6
Surname4629           Name4629            6    6    4    5   10     2
Surname4630           Name4630            5    8    2    2    7     5
Surname4631           Name4631            5    2    5    6    5     8
Surname4632           Name4632            2    3    7    9    7     9
Surname4633           Name4633            3    2    5    3    3    10
Surname4634           Name4634            6    8    5    7   10     9
Surname4635           Name4635            5   10    1    7    1     9
Surname4636           Name4636            7    1    2   10    6     4
Surname4637           Name4637            8    3    4    8    4     2
Surname4638           Name4638            6    6   10   10   10     2
Surname4639           Name4639           10    9    9    5    6     6
Surname4640           Name4640            7    5    6   10   10     9
Surname4641           Name4641            5    6    4    5    3     3
Surname4642           Name4642            4    7    9    6    1     9
Surname4643           Name4643            6    9    6    7    4     9
Surname4644           Name4644            5    5    9    8    3     5
Surname4645           Name4645            8    9    1    2    8     8
Surname4646           Name4646            4    7    5    7    4     9
Surname4647           Name4647            2    2    8    7    7     1
Surname4648           Name4648            9    1    2    8    7     8
Surname4649           Name4649            8    6    8    5    4     4
Surname4650           Name4650            9    8    5    5    8     1
Surname4651           Name4651            8    8    4    4    7     5
Surname4652           Name4652            6    4    1    8    5     5
Surname4653           Name4653            1    8   10    3    1     7
Surname4654           Name4654            3    8   10    1    2     4
Surname4655           Name4655           10    3    3    7    4     8
Surname4656           Name4656            3    2   10    8    3     9
Surname4657           Name4657            9    3    9    9    8     5
Surname4658           Name4658            9   10    3    3    2     9
Surname4659           Name4659            6   10   10    1    1    10
Surname4660           Name4660            8    6    2    3    5    10
Surname4661           Name4661            6    1    5    6    8     9
Surname4662           Name4662            1    3    6    3    1     5
Surname4663           Name4663            1    3    2    1   10     6
Surname4664           Name4664            3    1    1    4    1     4
Surname4665           Name4665            2    8   10    2    9     9
Surname4666           Name4666            9    5    9    8   10     4
Surname4667           Name4667            6    9    6    9    9     8
Surname4668           Name4668            6    9    4    1    2     7
Surname4669           Name4669            9    4    4    6    2     5
Surname4670           Name4670            7    8    9    6   10     2
Surname4671           Name4671           10   10    6    2    1    10
Surname4672           Name4672            6    9   10    7    7     2
Surname4673           Name4673            6   10   10   10   10     4
Surname4674           Name4674            5    3    2    2    4     2
Surname4675           Name4675            5    9    9    8    9     6
Surname4676           Name4676            7    9    3    8    4     4
Surname4677           Name4677           10    3    8    8    2     2
Surname4678           Name4678            6   10    6    1    6     3
Surname4679           Name4679            8    4   10    8    6     2
Surname4680           Name4680            7    4   10   10    7     5
Surname4681           Name4681            6    5    1    4    2     2
Surname4682           Name4682            3    2    7    2    8    10
Surname4683           Name4683           10    5    9    2    2     6
Surname4684           Name4684            2    6    1    6    9     4
Surname4685           Name4685            4    5    9    9    5     8
Surname4686           Name4686            8    5    1    3    8     2
Surname4687           Name4687            5   10    9    3    2     5
Surname4688           Name4688            2   10    4    3    4     1
Surname4689           Name4689            9    3    2   10    9     8
Surname4690           Name4690            8    8    8    5    3    10
Surname4691           Name4691            8    1    2    9    3     4
Surname4692           Name4692            5    6    8    2    6     8
Surname4693           Name4693            5    8    1   10   10     6
Surname4694           Name4694            4    2    5    8    5     2
Surname4695           Name4695            9    8    9   10   10     4
Surname4696           Name4696            1    2    1    3    7     5
Surname4697           Name4697            2   10    6    3    6     8
Surname4698           Name4698            1    5    3    5    9     9
Surname4699           Name4699            1    3    6   10    2     1
Surname4700           Name4700            3    3    3    4    1     8
Surname4701           Name4701            7   10    5    6   10     7
Surname4702           Name4702            6    6    9    7    7     8
Surname4703           Name4703            6    6    7    8    9     6
Surname4704           Name4704            1    8    6    1    8     6
Surname4705           Name4705            4    4    7    6   10     2
Surname4706           Name4706            5    5    6    1    4     5
Surname4707           Name4707            2    3    3    2    9     3
Surname4708           Name4708            7    3    8    6    9     8
Surname4709           Name4709            5    6    5    4    8     8
Surname4710           Name4710            4    5    7   10    1    10
Surname4711           Name4711            5   10    3   10    6     6
Surname4712           Name4712            4    8    8    1    6     8
Surname4713           Name4713           10    5    8    3    4     8
Surname4714           Name4714            5    5    3    4    9     5
Surname4715           Name4715            1    5    4    7    9     9
Surname4716           Name4716            5    6    6    8    3     7
Surname4717           Name4717            5    5    4    7    1     7
Surname4718           Name4718            3    1    4    3    7     9
Surname4719           Name4719            8    6    9    6   10     6
Surname4720           Name4720            4    1   10    2    3     1
Surname4721           Name4721            5   10    6    3    6     9
Surname4722           Name4722            7    6    7    1    2     9
Surname4723           Name4723            7    1    7    4    5     8
Surname4724           Name4724            8    2    1    3    8     4
Surname4725           Name4725            1    1    2    2    9     1
Surname4726           Name4726            3    6    8    3    4     2
Surname4727           Name4727            3    9    8    6    2     7
Surname4728           Name4728            6    3    6    3    1     4
Surname4729           Name4729            7    3    1    3    1     9
Surname4730           Name4730           10   10    1    7    2     8
Surname4731           Name4731            7    6    6    1    7     1
Surname4732           Name4732            2    5   10    1    8     3
Surname4733           Name4733            2    1    3    4    7     5
Surname4734           Name4734            3    9    2    4    5     9
Surname4735           Name4735            8    5    1    5    7     8
Surname4736           Name4736            8   10    3    4    5     5
Surname4737           Name4737            4    8    6    1    8     4
Surname4738           Name4738            7    2    3    7    3     9
Surname4739           Name4739            7    3    9    4   10     7
Surname4740           Name4740            4    3    5    8   10     1
Surname4741           Name4741            5    2    8    4    1     7
Surname4742           Name4742            7    9    7    6   10     5
Surname4743           Name4743            5    2   10    8    3     5
Surname4744           Name4744            6    3    3   10    9     7
Surname4745           Name4745            7   10    5    5    7     2
Surname4746           Name4746            3    5    5    1    5     7
Surname4747           Name4747            8   10    2    4    9     7
Surname4748           Name4748            5    2    2    7    9     6
Surname4749           Name4749            2    5    9    3    5     2
Surname4750           Name4750            2    4    1    1    8     8
Surname4751           Name4751            2    5    8    7    6     3
Surname4752           Name4752            3    6    2   10    6     1
Surname4753           Name4753            5    8    1    3   10     6
Surname4754           Name4754            7    7    4    8    4     6
Surname4755           Name4755            5   10    7    6    4     1
Surname4756           Name4756            9    4    5    6    2     6
Surname4757           Name4757            7    1    2    6    8     9
Surname4758           Name4758            4    5   10    3    8     5
Surname4759           Name4759            3    6    7    6    6     9
Surname4760           Name4760            1    9    1    5    4     8
Surname4761           Name4761            6    3    3    1    3     4
Surname4762           Name4762            8    6    3    1    6    10
Surname4763           Name4763            7    1    2   10    4     1
Surname4764           Name4764            3    3   10    5    4    10
Surname4765           Name4765            7    2    9    4    9     5
Surname4766           Name4766            5    2    3    1   10     6
Surname4767           Name4767           10    3   10    4    8     4
Surname4768           Name4768            8    5    7   10    4     5
Surname4769           Name4769            1    5    1    5    2     4
Surname4770           Name4770           10    3    8    4   10     8
Surname4771           Name4771            3    4   10    8    8    10
Surname4772           Name4772           10    8   10    4    2     3
Surname4773           Name4773           10    5    9    8    9     4
Surname4774           Name4774            6    1    7    1    3     4
Surname4775           Name4775            1    5    1    4    5     1
Surname4776           Name4776            3   10    7    1    8     7
Surname4777           Name4777           10    8   10    5   10     7
Surname4778           Name4778           10    1    3    4    7     5
Surname4779           Name4779            8   10    1    9    4     7
Surname4780           Name4780            8    5    5    2    3     8
Surname4781           Name4781            5    5    4    3    5     5
Surname4782           Name4782            1    7    4    3    8     9
Surname4783           Name4783            1    4    5    4    7     9
Surname4784           Name4784            4    5    8    7   10     8
Surname4785           Name4785            2    5    7    9    3     7
Surname4786           Name4786           10    6    6    6    9    10
Surname4787           Name4787            9    2    1    9    6     7
Surname4788           Name4788            4    1    4    5    9     1
Surname4789           Name4789            2    6    4    6    5     7
Surname4790           Name4790            7    5    7    1    5     9
Surname4791           Name4791            8   10    6    1    6     6
Surname4792           Name4792            3    3    4    5    7     9
Surname4793           Name4793            8    1    7    9   10     8
Surname4794           Name4794           10    8    6    3   10    10
Surname4795           Name4795            8    3   10    7    3     4
Surname4796           Name4796            1    4    1    7    9     2
Surname4797           Name4797            1   10    8    1    1     8
Surname4798           Name4798            5    5    5    5    9     8
Surname4799           Name4799            1    7    9    6    1     1
Surname4800           Name4800            1   10    5    9    3    10
Surname4801           Name4801            2    9   10    7    4     8
Surname4802           Name4802            2   10    6    4    7     2
Surname4803           Name4803            1    1    4    8    8     8
Surname4804           Name4804            7   10    5    5    8     6
Surname4805           Name4805            5   10    7    7    6     9
Surname4806           Name4806            9    9    1    2    2     5
Surname4807           Name4807            6    6    4    2    3     5
Surname4808           Name4808            2    9    4    2    7     9
Surname4809           Name4809            9    6    5    7    1     4
Surname4810           Name4810            8    3    3    6   10     7
Surname4811           Name4811            9    5   10    9    3     4
Surname4812           Name4812            5    7    8    3    1     7
Surname4813           Name4813           10    4    7    8    6     5
Surname4814           Name4814            1    6    9    6    1     7
Surname4815           Name4815           10    1    3    8   10     9
Surname4816           Name4816           10   10    1    9   10     3
Surname4817           Name4817            1    7    7    1    8    10
Surname4818           Name4818            7    1    2    7    3     6
Surname4819           Name4819            2    6    4    5    3     6
Surname4820           Name4820            8    2    8    7    1     4
Surname4821           Name4821            5    1    6    5    2     9
Surname4822           Name4822           10    2    5    7    5    10
Surname4823           Name4823            7    8    5    1   10    10
Surname4824           Name4824            8    8    1    5    2     5
Surname4825           Name4825            5    2    4    7    2     6
Surname4826           Name4826            7    8    6    6    4     4
Surname4827           Name4827            5    2    5    7    9    10
Surname4828           Name4828            1    5    1    1    7    10
Surname4829           Name4829            6    5    2    1    8     3
Surname4830           Name4830            9    2    8    3    6     3
Surname4831           Name4831            5    2    3    5    5     4
Surname4832           Name4832            2    6    9    4    1     1
Surname4833           Name4833            4    8    3    3    1     1
Surname4834           Name4834            5    5    5    8    4     6
Surname4835           Name4835            5   10   10    1    5     2
Surname4836           Name4836            2    3    5    5    2     7
Surname4837           Name4837            1    7    5    5    9     8
Surname4838           Name4838           10    3    3    7    9     3
Surname4839           Name4839            8    4    4    3   10     4
Surname4840           Name4840            4    1   10    2    6     3
Surname4841           Name4841            8    1    6    5    5     3
Surname4842           Name4842            8    5    1    7    2     1
Surname4843           Name4843            1    5    7   10    3     4
Surname4844           Name4844            3    4    8    8    6     4
Surname4845           Name4845            7    4    2    3    9     1
Surname4846           Name4846            4    5   10    1    9    10
Surname4847           Name4847           10    7    5    6    2     6
Surname4848           Name4848            9    4    7    9    8    10
Surname4849           Name4849            2    5    2    1    9     2
Surname4850           Name4850            5    1    2    4    7     6
Surname4851           Name4851            8    7   10    6    8     4
Surname4852           Name4852            7    7    2    7    6     3
Surname4853           Name4853            4    5    6   10    5     2
Surname4854           Name4854            9    8    4    1    7    10
Surname4855           Name4855           10    4    4   10    4     9
Surname4856           Name4856            1    2    9    4    9     1
Surname4857           Name4857            8   10   10    3    5    10
Surname4858           Name4858            5    3    1    4    8     6
Surname4859           Name4859            5    4    2    5    7     5
Surname4860           Name4860            1    6    8    8    1     8
Surname4861           Name4861           10    1    7    8    9     6
Surname4862           Name4862            7    3    8    1    4     5
Surname4863           Name4863           10    6    6    9    1     9
Surname4864           Name4864            1    1    3    1    6    10
Surname4865           Name4865            3    7    4    4    6     6
Surname4866           Name4866            7    5    5    4    3     1
Surname4867           Name4867            3    2    8    2    5     1
Surname4868           Name4868            2    9    3    8    6     4
Surname4869           Name4869           10    4    5    1    2     4
Surname4870           Name4870            6    8   10    5    8     3
Surname4871           Name4871            7    6   10    4    4     6
Surname4872           Name4872            3    2    2    5    1     5
Surname4873           Name4873            2    6    9    6    2     8
Surname4874           Name4874            1    2   10    5    6     9
Surname4875           Name4875            1    1   10    4    8    10
Surname4876           Name4876            2    8    7   10    2     6
Surname4877           Name4877            3    1    6    6    4     1
Surname4878           Name4878            2    9    6    2    7     6
Surname4879           Name4879            7    1    1    8    8     5
Surname4880           Name4880            1    5    3   10    4     1
Surname4881           Name4881            3    3    4   10    6    10
Surname4882           Name4882            2    4    6    2    8     9
Surname4883           Name4883            2    5    7    3    3     7
Surname4884           Name4884            4    6    1    5    9     6
Surname4885           Name4885            3    7   10    9    2     9
Surname4886           Name4886            4    7    7    4   10     6
Surname4887           Name4887            9    4    2    5    6     7
Surname4888           Name4888            8    5    9    3    4    10
Surname4889           Name4889            5    1    3    4    2     5
Surname4890           Name4890            4    6   10    9    3     9
Surname4891           Name4891            2   10    7    1    1     2
Surname4892           Name4892            7    9    9    4    3     9
Surname4893           Name4893           10    9    2   10    7     7
Surname4894           Name4894           10    7    6    5    2     7
Surname4895           Name4895            9    3   10    5    5     2
Surname4896           Name4896           10    5   10    7    5     6
Surname4897           Name4897            8    9    7    5    5     1
Surname4898           Name4898            9    3    4    3    2     3
Surname4899           Name4899           10    3    2    3    1     5
Surname4900           Name4900            3    8    5   10    7    10
Surname4901           Name4901            5    8    3    8    1     8
Surname4902           Name4902            2    9    1    1    5     9
Surname4903           Name4903            7    1    8    3    7     5
Surname4904           Name4904            1    8    7    9    2     6
Surname4905           Name4905           10    3    7    3    2     8
Surname4906           Name4906            7    9    6    7    5     8
Surname4907           Name4907            8    5    9    5    6    10
Surname4908           Name4908            1    3    3    8    5     6
Surname4909           Name4909            8    9    3    7    5     8
Surname4910           Name4910            6    5    7    5    6    10
Surname4911           Name4911            3    9    4    2    1     5
Surname4912           Name4912            3    9    2    2    1     3
Surname4913           Name4913            7    8    3    5    5     2
Surname4914           Name4914            2    6    9    7    4    10
Surname4915           Name4915            8    2    2    2    3     9
Surname4916           Name4916            8   10    3    3    6    10
Surname4917           Name4917            5    2    4    3    1    10
Surname4918           Name4918           10    6    3    7    2     6
Surname4919           Name4919            3    1    1    9    9     7
Surname4920           Name4920            5    4    9    8    1     7
Surname4921           Name4921            8    6   10    7    8     4
Surname4922           Name4922            3    1    6    8    6     3
Surname4923           Name4923            5    5    6    1    1     3
Surname4924           Name4924            8    5    1    7    6     5
Surname4925           Name4925            1    2    6    9    9     7
Surname4926           Name4926            2    7    3    5    1     6
Surname4927           Name4927            3    2    4    2    1     6
Surname4928           Name4928            3    8    3    4    6     1
Surname4929           Name4929            4    3    9    8    5     8
Surname4930           Name4930           10    7    1    5    5    10
Surname4931           Name4931            7    9    5    3    1    10
Surname4932           Name4932            7    2    1    9    4     9
Surname4933           Name4933            4    2    6    5    2     4
Surname4934           Name4934            4    8    4    5    4     2
Surname4935           Name4935            9    3    6    7    2    10
Surname4936           Name4936            3    7    7    4   10    10
Surname4937           Name4937            8    4    6   10    8     4
Surname4938           Name4938            6    2    2    9    3     5
Surname4939           Name4939            8    7    6    3    3     8
Surname4940           Name4940            1    1    9    4   10     5
Surname4941           Name4941            1    4    3    1    3     6
Surname4942           Name4942            7    5    3    1    8     1
Surname4943           Name4943            3    3    6    9    4     4
Surname4944           Name4944           10    6    4    3    4     7
Surname4945           Name4945            9    5    2    4    2     9
Surname4946           Name4946            6   10    8    7    3     1
Surname4947           Name4947           10    1    7    4    7     1
Surname4948           Name4948            1    6    1   10    5     8
Surname4949           Name4949            8    9    8    2    9     7
Surname4950           Name4950            9    9    4    6    4     9
Surname4951           Name4951            1    4    7   10    5     5
Surname4952           Name4952            7    6    5    2   10     7
Surname4953           Name4953            7    2   10    8    4     3
Surname4954           Name4954            3    2    9   10    5    10
Surname4955           Name4955            3    1    4   10    8     1
Surname4956           Name4956            4    5    1    3    1    10
Surname4957           Name4957            7   10    5    3    5    10
Surname4958           Name4958           10    4    7    4   10     4
Surname4959           Name4959            4    8    8   10    6     4
Surname4960           Name4960           10    4    2    2    7     7
Surname4961           Name4961            7   10   10    7    6     6
Surname4962           Name4962           10    1    5    8    9     9
Surname4963           Name4963            6    1    6    2    9     7
Surname4964           Name4964            7    8    8    5    5     7
Surname4965           Name4965            7   10    5    7    1     8
Surname4966           Name4966            4    7    1    3    8     2
Surname4967           Name4967           10    5    3    6    6    10
Surname4968           Name4968            1    9    1    2    2     8
Surname4969           Name4969            6    7    3    1    1     8
Surname4970           Name4970            2    9    5    4    6     4
Surname4971           Name4971            9    8    5    6    6     1
Surname4972           Name4972            6    7   10    4    4    10
Surname4973           Name4973            8   10    7    9    1     9
Surname4974           Name4974            9    5    5    9    6     6
Surname4975           Name4975            1    9    9    7    5     5
Surname4976           Name4976            6    4    9    4    1     9
Surname4977           Name4977            1    2    2    2    7     1
Surname4978           Name4978            9    9    3    9    6    10
Surname4979           Name4979            4   10   10   10    2     7
Surname4980           Name4980            9    4    5    1    2    10
Surname4981           Name4981            5    7    5   10    8     6
Surname4982           Name4982            6    9    5   10    2     2
Surname4983           Name4983            5    5    5   10    9     6
Surname4984           Name4984            1    9    6    1    8     5
Surname4985           Name4985            2    2    9    4    8    10
Surname4986           Name4986            6    3    5    4    5     2
Surname4987           Name4987            8    2    4    1    9     7
Surname4988           Name4988            8    9    9    2   10     8
Surname4989           Name4989            6    9    7    5    4     7
Surname4990           Name4990            7    4    6    1    2     7
Surname4991           Name4991            3    8    8    5    2     4
Surname4992           Name4992            3    7    7    3    8     6
Surname4993           Name4993            1    9    5    6    8     6
Surname4994           Name4994           10    4   10    4   10     9
Surname4995           Name4995            7    6    9   10    2     7
Surname4996           Name4996            4   10    6    7   10     8
Surname4997           Name4997            9    3    6    3    2     9
Surname4998           Name4998            1    5    9    6    6     9
Surname4999           Name4999            4    7    4    8    5     9
Surname5000           Name5000           10    2    7    3    8     1
Surname5001           Name5001            1    1    3    3    1     5
Surname5002           Name5002            4    9    7    3    2     9
Surname5003           Name5003            4    7    9    9    4     2
Surname5004           Name5004            8    3    2    1    7     8
Surname5005           Name5005            1    2    4    5    9     4
Surname5006           Name5006            1    8    4    9    4     9
Surname5007           Name5007            2    8    2   10    9     8
Surname5008           Name5008            5    1    9   10    4     9
Surname5009           Name5009            9    9    1    1    7     4
Surname5010           Name5010            1    2   10    2    5     1
Surname5011           Name5011            2   10    9    2    9     6
Surname5012           Name5012            7    4    1    4    9     3
Surname5013           Name5013            9   10    5   10   10     6
Surname5014           Name5014            1    2    3    9    4     5
Surname5015           Name5015            3   10   10    8    3     4
Surname5016           Name5016            2    1    6    7    9     8
Surname5017           Name5017            1    9    8    3    8     8
Surname5018           Name5018            7    1    3    8   10     7
Surname5019           Name5019            2    1    6    6    4     7
Surname5020           Name5020            1    8    9   10    7     1
Surname5021           Name5021            5    8    5    1    4     9
Surname5022           Name5022            5    5    5   10    4    10
Surname5023           Name5023            8    5    2    6    6     8
Surname5024           Name5024            7    2    3    7    3     6
Surname5025           Name5025            9    3    8    8    4     4
Surname5026           Name5026           10    7    1    9    4     6
Surname5027           Name5027            5   10    2    8    3     6
Surname5028           Name5028            4    9    4    5    7     4
Surname5029           Name5029            7    7    3    6    4     4
Surname5030           Name5030           10    9    5    8   10     8
Surname5031           Name5031            2    6    7    1    3     5
Surname5032           Name5032            1    1    5    2    8     2
Surname5033           Name5033            9    1    8    8    3     9
Surname5034           Name5034            5    7    4    6    8     1
Surname5035           Name5035            6    8   10    2    8     9
Surname5036           Name5036            5    2    1    3    8     3
Surname5037           Name5037            3    4    8    7    9     4
Surname5038           Name5038            7    5    8    7    4    10
Surname5039           Name5039            5    5    4   10    6     1
Surname5040           Name5040            2   10    3    9    2     4
Surname5041           Name5041            5    3    7    3    8     8
Surname5042           Name5042            4    9    6    2    7     9
Surname5043           Name5043           10    2    6    4    9    10
Surname5044           Name5044            9    5    2    3    6     1
Surname5045           Name5045            6    8    5    1   10     8
Surname5046           Name5046           10    2    2    1    6     4
Surname5047           Name5047            6    2    6    8    1     6
Surname5048           Name5048            6    1    8    8    1     8
Surname5049           Name5049            9    8    9    1    3     1
Surname5050           Name5050           10    7    8    8    2     3
Surname5051           Name5051            4    1    2    7    3     1
Surname5052           Name5052            5    4    2    6    2     1
Surname5053           Name5053            9    4    1    6    8     9
Surname5054           Name5054           10    4    5   10    6     8
Surname5055           Name5055            5   10   10    4    9     8
Surname5056           Name5056            8    1    1    6    6     9
Surname5057           Name5057            9    2    5    4    9     8
Surname5058           Name5058            6   10    1    7    4     2
Surname5059           Name5059           10    1    1    3    9     4
Surname5060           Name5060            6    9    1    4    2     3
Surname5061           Name5061           10    4    1    6    7     3
Surname5062           Name5062            7    9    4   10    2     4
Surname5063           Name5063            1   10    8    9    9     9
Surname5064           Name5064            9   10    5    7    1     6
Surname5065           Name5065            1    1    6    5    3     6
Surname5066           Name5066            4    7    1    3    1     1
Surname5067           Name5067            5    8    5    6   10     2
Surname5068           Name5068            8    1    8    5    9     9
Surname5069           Name5069            7    3    6    6    6     4
Surname5070           Name5070            7    2    2    6    9     5
Surname5071           Name5071            7    7    9    1    2     5
Surname5072           Name5072           10    2    2    1    8     7
Surname5073           Name5073            7    2    5    9    1     7
Surname5074           Name5074            3    6    2    5    1     1
Surname5075           Name5075            1    6    7    9    9     1
Surname5076           Name5076            3   10    9    7    8     4
Surname5077           Name5077            2    4    1    2    1     2
Surname5078           Name5078            3    1    4    5    6     1
Surname5079           Name5079            5    9    8    7    7     1
Surname5080           Name5080            7    4    9    6    1     2
Surname5081           Name5081            4    6    4    8    3     9
Surname5082           Name5082            7    9    8    6   10     5
Surname5083           Name5083            4    4    9    3    6     3
Surname5084           Name5084           10    7    2    6    1     3
Surname5085           Name5085           10    1    9    6    2     8
Surname5086           Name5086            7    7    2    5   10     5
Surname5087           Name5087            3    6    4    4    9     5
Surname5088           Name5088            5    2    8    7    6    10
Surname5089           Name5089            7    3    8    2    7     9
Surname5090           Name5090            4    3    2    5    1     8
Surname5091           Name5091            5    3    6   10    2     2
Surname5092           Name5092            4    8    3    7    7     4
Surname5093           Name5093            1   10    3    5    2     2
Surname5094           Name5094            4    3    9    9    3     1
Surname5095           Name5095            9    3    8    6    7     4
Surname5096           Name5096            7    6    7    5    3     4
Surname5097           Name5097            4    2   10    3    5     7
Surname5098           Name5098            3    1    3    1    2     5
Surname5099           Name5099            8   10   10    1    2     6
Surname5100           Name5100            2    8    4   10    8     5
Surname5101           Name5101           10   10    2    9    8     7
Surname5102           Name5102            4    4   10    1   10     3
Surname5103           Name5103            1    2    3    1    6     3
Surname5104           Name5104            7    1    9    3    8     2
Surname5105           Name5105            3    2    2   10    8     3
Surname5106           Name5106            7    1    2   10    2     1
Surname5107           Name5107            1   10    5    7    7     3
Surname5108           Name5108            3    3    3    9    3     7
Surname5109           Name5109           10    4    9    9    3     1
Surname5110           Name5110            4    9    8   10    4     9
Surname5111           Name5111            6    6    1    8    3    10
Surname5112           Name5112            3    8    5    7    6     2
Surname5113           Name5113            4    1    8    6    5     6
Surname5114           Name5114            5    6    2    1    7     8
Surname5115           Name5115            5    4    2    3    5     8
Surname5116           Name5116            9    8   10    8    2     9
Surname5117           Name5117           10    9    3    7    6     1
Surname5118           Name5118           10    3    6    7    5     3
Surname5119           Name5119            5    1    7    1   10    10
Surname5120           Name5120            5    4    1    6    9     5
Surname5121           Name5121            3   10    9    3    4     5
Surname5122           Name5122            8    5   10    3    5     7
Surname5123           Name5123            9   10    7    2    2     4
Surname5124           Name5124            2    5    2   10   10     7
Surname5125           Name5125            1    3    7    4    2    10
Surname5126           Name5126           10   10    3   10    4     9
Surname5127           Name5127            8   10    9    5    2     8
Surname5128           Name5128            6    5    7    5    9     7
Surname5129           Name5129            2    7    6    9    9     3
Surname5130           Name5130            4    2    4    3    9     2
Surname5131           Name5131            3    4    5    1    5     6
Surname5132           Name5132            9    9    7    4    5     4
Surname5133           Name5133            2    3    4   10    8    10
Surname5134           Name5134            9    5    6    6    9     9
Surname5135           Name5135            4    8    7    9    3     1
Surname5136           Name5136            3    1   10    4    6     1
Surname5137           Name5137            1    5    4    4    2     9
Surname5138           Name5138           10    7    2    4    7     4
Surname5139           Name5139            5    9    5    3    9     2
Surname5140           Name5140            3    8    3    7    4     9
Surname5141           Name5141            4    3    9    4    4     2
Surname5142           Name5142            7    6    6    5    1     3
Surname5143           Name5143            3    6    1    7    5     4
Surname5144           Name5144            1    3    4    2    2     6
Surname5145           Name5145            4    3    2    9   10     2
Surname5146           Name5146            3    9    2    8    5     2
Surname5147           Name5147            6    6    5    5    8     5
Surname5148           Name5148            3    6    8    9    1     1
Surname5149           Name5149            2    5    3    3    2     7
Surname5150           Name5150            2    9   10    6    1     1
Surname5151           Name5151            8   10    7    8    7     2
Surname5152           Name5152            2    6    9    8   10     9
Surname5153           Name5153            5    3    4   10    5    10
Surname5154           Name5154           10    2    5    4    5     3
Surname5155           Name5155            8    6    9    6    1     7
Surname5156           Name5156            9    3    5    5    8     1
Surname5157           Name5157            7    3    3    7    3     6
Surname5158           Name5158           10    1    1    6    7     1
Surname5159           Name5159            4    2    4    8    3     9
Surname5160           Name5160            3   10   10    9    4     9
Surname5161           Name5161            7    6   10    8    9     4
Surname5162           Name5162            6    9    6    5    8     2
Surname5163           Name5163           10   10   10    4    1     6
Surname5164           Name5164            6    9    7    1   10     2
Surname5165           Name5165            7    4    6    9    9     2
Surname5166           Name5166            3    9   10    5    2     1
Surname5167           Name5167            5    8    6    3    1    10
Surname5168           Name5168            7    3    1    2    3     9
Surname5169           Name5169            6    5    5    5    6     7
Surname5170           Name5170            6    3    9    3    3     5
